省份,城市,City,小学阶段万人_全市,小学阶段万人_市辖区,学前教育人_全市,学前教育人_市辖区
四川省,  绵阳市, Mianyang,29,15,124402,67928
四川省,  广元市, Guangyuan,13,6,61317,30879
四川省,  遂宁市, Suining,18,9,72087,36899
四川省,  内江市, Neijiang,18,7,68988,28385
四川省,  乐山市, Leshan,19,6,76623,25919
四川省,  南充市, Nanchong,33,12,130670,50447
四川省,  眉山市, Meishan,18,7,78031,34130
四川省,  宜宾市, Yibin,34,15,127864,59968
四川省,  广安市, Guang'an,22,6,86118,24682
四川省,  达州市, Dazhou,33,10,132473,41953
四川省,  雅安市, Ya'an,9,4,41533,16464
四川省,  巴中市, Bazhong,18,8,68004,30640
四川省,  资阳市, Ziyang,14,5,51449,22714
贵州省,  贵阳市, Guiyang,52,31,220223,149502
贵州省,  六盘水市, Liupanshui,35,16,143374,59640
贵州省,  遵义市, Zunyi,61,22,254532,92845
贵州省,  安顺市, Anshun,25,11,95651,47824
贵州省,  毕节市, Bijie,81,17,276210,68341
贵州省,  铜仁市, Tongren,33,7,127159,27070
云南省,  昆明市, Kunming,59,40,290493,198373
云南省,  曲靖市, Qujing,51,13,211667,64136
云南省,  玉溪市, Yuxi,15,6,71032,28493
云南省,  保山市, Baoshan,19,7,77726,28598
云南省,  昭通市, Zhaotong,51,10,211342,47192
云南省,  丽江市, Lijiang,9,2,40893,11356
云南省,  普洱市, Pu'er,19,3,82080,13617
云南省,  临沧市, Lincang,20,3,77700,12965
西藏自治区,  拉萨市, Lhasa,7,5,35414,26378
西藏自治区,  日喀则市, Xigaze,9,1,39945,
西藏自治区,  昌都市, Qamdo,8,1,24845,3090
西藏自治区,  林芝市, Nyingchi,2,1,9808,3504
西藏自治区,  山南市, Lhoka,3,0,12097,1598
西藏自治区,  那曲市, Nagqu,7,1,24810,6993
陕西省,  西安市, Xi'an,99,93,389807,361686
陕西省,  铜川市, Tongchuan,4,4,18315,16872
陕西省,  宝鸡市, Baoji,22,13,87900,51800
陕西省,  咸阳市, Xianyang,30,8,110999,29341
陕西省,  渭南市, Weinan,33,9,131956,34952
陕西省,  延安市, Yan'an,21,9,74631,33182
陕西省,  汉中市, Hanzhong,21,7,94671,33766
陕西省,  榆林市, Yulin,35,9,139224,38862
陕西省,  安康市, Ankang,19,8,76750,33994
陕西省,  商洛市, Shangluo,17,3,63570,9705
甘肃省,  兰州市, Lanzhou,28,20,126480,90351
甘肃省,  嘉峪关市, Jiayuguan,2,12257,,
甘肃省,  金昌市, Jinchang,2,2,12109,8435
甘肃省,  白银市, Baiyin,12,4,50413,19690
甘肃省,  天水市, Tianshui,25,9,93589,37448
甘肃省,  武威市, Wuwei,10,7,44425,30088
甘肃省,  张掖市, Zhangye,7,3,35739,17861
甘肃省,  平凉市, Pingliang,15,4,59886,17043
甘肃省,  酒泉市, Jiuquan,6,3,32843,15441
甘肃省,  庆阳市, Qingyang,20,4,77076,21743
甘肃省,  定西市, Dingxi,22,3,92863,17143
甘肃省,  陇南市, Longnan,22,5,87182,22818
青海省,  西宁市, Xining,17,13,68643,
青海省,  海东市, Haidong,12,3,40751,10139
宁夏回族自治区,  银川市, Yinchuan,24,16,102674,70477
宁夏回族自治区,  石嘴山市, Shizuishan,4,3,18759,11184
宁夏回族自治区,  吴忠市, Wuzhong,13,4,42913,14474
宁夏回族自治区,  固原市, Guyuan,11,5,39314,17756
宁夏回族自治区,  中卫市, Zhongwei,10,3,35062,14167
新疆维吾尔自治区,  乌鲁木齐市, Urumqi,28,28,96391,95229
新疆维吾尔自治区,  克拉玛依市, Karamay,3,3,12516,12516
新疆维吾尔自治区,  吐鲁番市, Turpan,7,3,24716,11726
新疆维吾尔自治区,  哈密市, Hami,4,3,17231,14882
