省份,城市,City,邮政行业业务收入万元,电信业务收入万元,移动电话年末用户数万户
辽宁省,  抚顺市, Fushun,68626,165111,218
辽宁省,  本溪市, Benxi,49855,136340,161
辽宁省,  丹东市, Dandong,90560,191658,254
辽宁省,  锦州市, Jinzhou,105046,224580,309
辽宁省,  营口市, Yingkou,92197,219504,264
辽宁省,  阜新市, Fuxin,43658,142749,188
辽宁省,  辽阳市, Liaoyang,71359,146503,193
辽宁省,  盘锦市, Panjin,130775,159693,179
辽宁省,  铁岭市, Tieling,92600,181367,256
辽宁省,  朝阳市, Chaoyang,99067,222569,291
辽宁省,  葫芦岛市, Huludao,87593,190033,269
吉林省,  长春市, Changchun,655012,1063404,1122
吉林省,  吉林市, Jilin,165022,90077,627
吉林省,  四平市, Siping,82184,139189,235
吉林省,  辽源市, Liaoyuan,49593,70056,119
吉林省,  通化市, Tonghua,70000,118532,212
吉林省,  白山市, Baishan,55100,42613,125
吉林省,  松原市, Songyuan,69624,129916,288
吉林省,  白城市, Baicheng,57295,105518,220
黑龙江省,  哈尔滨市, Harbin,858000,926096,1237
黑龙江省,  齐齐哈尔市, Qiqihar,149100,283719,420
黑龙江省,  鸡西市, Jixi,75500,97386,174
黑龙江省,  鹤岗市, Hegang,35471,67070,108
黑龙江省,  双鸭山市, Shuangyashan,47800,,
黑龙江省,  大庆市, Daqing,125889,230789,398
黑龙江省,  伊春市, Yichun,33000,65826,108
黑龙江省,  佳木斯市, Jiamusi,95400,150346,263
黑龙江省,  七台河市, Qitaihe,22815,49315,87
黑龙江省,  牡丹江市, Mudanjiang,135000,167091,215
黑龙江省,  黑河市, Heihe,47600,75674,173
黑龙江省,  绥化市, Suihua,131600,250000,432
上海市,上海市,Shanghai,22250608,7162130,4594
江苏省,  南京市, Nanjing,1492809,2007650,1422
江苏省,  无锡市, Wuxi,1275799,1466097,1039
江苏省,  徐州市, Xuzhou,715772,1001075,1073
江苏省,  常州市, Changzhou,862263,957500,703
江苏省,  苏州市, Suzhou,3161630,2795468,1892
江苏省,  南通市, Nantong,1043108,1062000,942
江苏省,  连云港市, Lianyungang,418850,511509,495
江苏省,  淮安市, Huai'an,416506,485962,521
江苏省,  盐城市, Yancheng,406412,804879,726
江苏省,  扬州市, Yangzhou,507586,650010,561
江苏省,  镇江市, Zhenjiang,417198,454377,695
江苏省,  泰州市, Taizhou,407807,592488,538
江苏省,  宿迁市, Suqian,525421,544231,533
浙江省,  杭州市, Hangzhou,4587458,2741663,1881
浙江省,  宁波市, Ningbo,1534412,1679031,1411
浙江省,  温州市, Wenzhou,1421176,1632909,1282
浙江省,  嘉兴市, Jiaxing,1283371,844083,782
浙江省,  湖州市, Huzhou,495839,552845,448
浙江省,  绍兴市, Shaoxing,755607,759926,722
浙江省,  金华市, Jinhua,4177873,1137629,1047
浙江省,  衢州市, Quzhou,126945,289407,282
浙江省,  舟山市, Zhoushan,82809,201642,196
浙江省,  台州市, Taizhou,894630,983945,954
浙江省,  丽水市, Lishui,201709,310048,301
安徽省,  合肥市, Hefei,1191008,1192497,1183
安徽省,  芜湖市, Wuhu,325918,378897,428
安徽省,  蚌埠市, Bengbu,192348,262000,343
安徽省,  淮南市, Huainan,123129,237972,323
安徽省,  马鞍山市, Ma'anshan,130389,202809,260
安徽省,  淮北市, Huaibei,75073,156519,224
安徽省,  铜陵市, Tongling,73979,113323,146
安徽省,  安庆市, Anqing,282270,318070,422
安徽省,  黄山市, Huangshan,73926,129742,155
安徽省,  滁州市, Chuzhou,213946,329678,412
安徽省,  阜阳市, Fuyang,328505,548081,775
安徽省,  宿州市, Suzhou,217549,362000,535
安徽省,  六安市, Lu'an,245216,356188,448
安徽省,  亳州市, Bozhou,308086,330018,486
安徽省,  池州市, Chizhou,72474,123858,154
安徽省,  宣城市, Xuancheng,141176,246582,286
福建省,  福州市, Fuzhou,1162874,1390996,997
福建省,  厦门市, Xiamen,943209,796000,686
福建省,  莆田市, Putian,310400,334809,362
福建省,  三明市, Sanming,126535,248091,278
福建省,  泉州市, Quanzhou,1577600,1118904,1063
福建省,  漳州市, Zhangzhou,380581,487087,558
福建省,  南平市, Nanping,164700,250552,298
福建省,  龙岩市, Longyan,123327,273757,292
福建省,  宁德市, Ningde,182582,319763,335
江西省,  南昌市, Nanchang,884300,815,
江西省,  景德镇市, Jingdezhen,30700,46488,199
江西省,  萍乡市, Pingxiang,739000,169102,198
江西省,  九江市, Jiujiang,179343,137335,160
江西省,  新余市, Xinyu,89716,123342,140
江西省,  鹰潭市, Yingtan,46237,106844,172
江西省,  赣州市, Ganzhou,429785,832000,928
江西省,  吉安市, Ji'an,208900,398000,429
江西省,  宜春市, Yichun,217300,399752,503
江西省,  抚州市, Fuzhou,145500,336000,351
江西省,  上饶市, Shangrao,248669,489500,587
山东省,  济南市, Jinan,1210400,1304130,1316
山东省,  青岛市, Qingdao,1157731,1354588,1384
山东省,  淄博市, Zibo,236010,417541,574
山东省,  枣庄市, Zaozhuang,169000,282267,419
山东省,  东营市, Dongying,103543,236207,306
山东省,  烟台市, Yantai,125594,632712,916
山东省,  潍坊市, Weifang,615000,752017,1112
山东省,  济宁市, Jining,402100,580693,881
山东省,  泰安市, Tai'an,219304,347568,586
山东省,  威海市, Weihai,247000,292607,417
山东省,  日照市, Rizhao,136297,227136,344
山东省,  临沂市, Linyi,989721,871573,1177
山东省,  德州市, Dezhou,541000,361610,588
山东省,  聊城市, Liaocheng,321893,373547,633
山东省,  滨州市, Binzhou,195925,302200,440
山东省,  菏泽市, Heze,426800,513255,910
河南省,  郑州市, Zhengzhou,1945823,1833313,1910
河南省,  开封市, Kaifeng,162664,319599,452
河南省,  洛阳市, Luoyang,345500,620453,756
河南省,  平顶山市, Pingdingshan,221123,354729,512
河南省,  安阳市, Anyang,231855,387679,598
河南省,  鹤壁市, Hebi,59747,118753,176
河南省,  新乡市, Xinxiang,370194,478104,687
河南省,  焦作市, Jiaozuo,272150,278121,400
河南省,  濮阳市, Puyang,145937,297709,413
河南省,  许昌市, Xuchang,212677,328092,461
河南省,  漯河市, Luohe,206173,183896,265
河南省,  三门峡市, Sanmenxia,76789,174189,229
河南省,  南阳市, Nanyang,459443,649682,957
河南省,  商丘市, Shangqiu,617678,514317,800
河南省,  信阳市, Xinyang,219637,463985,616
河南省,  周口市, Zhoukou,302316,563663,805
河南省,  驻马店市, Zhumadian,387200,469703,693
湖北省,  武汉市, Wuhan,2369900,1921776,1728
湖北省,  黄石市, Huangshi,125254,217823,258
湖北省,  十堰市, Shiyan,125623,265101,347
湖北省,  宜昌市, Yichang,192742,375437,449
湖北省,  襄阳市, Xiangyang,259810,444331,549
湖北省,  鄂州市, Ezhou,176881,94593,110
湖北省,  荆门市, Jingmen,139667,187449,285
湖北省,  孝感市, Xiaogan,314006,302648,395
湖北省,  荆州市, Jingzhou,271829,391215,473
湖北省,  黄冈市, Huanggang,192702,384598,507
湖北省,  咸宁市, Xianning,123931,215000,257
湖北省,  随州市, Suizhou,93300,146771,192
湖南省,  长沙市, Changsha,1518212,1533200,1575
湖南省,  株洲市, Zhuzhou,202412,350636,526
湖南省,  湘潭市, Xiangtan,104200,321200,339
湖南省,  衡阳市, Hengyang,273400,549553,662
湖南省,  邵阳市, Shaoyang,203860,151105,651
湖南省,  岳阳市, Yueyang,174650,473400,566
湖南省,  常德市, Changde,179776,537000,594
湖南省,  张家界市, Zhangjiajie,37499,188698,185
湖南省,  益阳市, Yiyang,141667,288477,433
湖南省,  郴州市, Chenzhou,161579,450635,522
湖南省,  永州市, Yongzhou,129228,335196,500
湖南省,  怀化市, Huaihua,134778,3383362,442
湖南省,  娄底市, Loudi,119947,306000,438
广东省,  广州市, Guangzhou,9634200,4520500,3324
广东省,  韶关市, Shaoguan,129695,271915,329
广东省,  深圳市, Shenzhen,8529464,4474000,2970
广东省,  珠海市, Zhuhai,286551,517000,397
广东省,  汕头市, Shantou,1584632,623433,660
广东省,  佛山市, Foshan,2243900,1605624,1291
广东省,  江门市, Jiangmen,379800,606000,564
广东省,  湛江市, Zhanjiang,262025,693000,728
广东省,  茂名市, Maoming,275785,493159,627
广东省,  肇庆市, Zhaoqing,325600,409000,428
广东省,  惠州市, Huizhou,689797,869000,747
