省份,城市,City,地方本级一般公共预算收入,地方一般公共预算支出,科学技术支出,教育支出
北京市,北京市,Beijing,61810970,79716333,5219079,12279032
天津市,天津市,Tianjin,20275112,32804209,770293,4917886
河北省,  石家庄市, Shijiazhuang,7378942,12748334,255005,2551176
河北省,  唐山市, Tangshan,5814346,10015337,121353,1830022
河北省,  秦皇岛市, Qinhuangdao,1725315,3781518,20940,639980
河北省,  邯郸市, Handan,3760253,8716485,116781,1833098
河北省,  邢台市, Xingtai,2144209,6417403,73699,1297743
河北省,  保定市, Baoding,3699767,14206176,206846,2180908
河北省,  张家口市, Zhangjiakou,1803721,6940043,39819,944813
河北省,  承德市, Chengde,1339625,4696114,30526,864835
河北省,  沧州市, Cangzhou,3427282,7309062,64472,1670410
河北省,  廊坊市, Langfang,3202152,5954637,59822,1312948
河北省,  衡水市, Hengshui,1517716,4403376,63873,768701
山西省,  太原市, Taiyuan,4492358,7772629,409182,1070737
山西省,  大同市, Datong,1940548,4645991,5039,618340
山西省,  阳泉市, Yangquan,830731,1682091,13964,251855
山西省,  长治市, Changzhi,3150771,5726231,19699,645744
山西省,  晋城市, Jincheng,2771908,4312389,36995,464313
山西省,  朔州市, Shuozhou,1503092,2924664,14263,423864
山西省,  晋中市, Jinzhong,1945678,4395022,53888,619498
山西省,  运城市, Yuncheng,1246367,5191726,22760,846558
山西省,  忻州市, Xinzhou,1476690,4557528,4780,589475
山西省,  临汾市, Linfen,1988912,5441050,6295,751146
山西省,  吕梁市, Lvliang,3315999,6229776,14290,950194
内蒙古自治区,  呼和浩特市, Hohhot,2380592,5929730,82136,678760
内蒙古自治区,  包头市, Baotou,2005459,4749991,61010,652580
内蒙古自治区,  乌海市, Wuhai,856955,1719272,17673,189689
内蒙古自治区,  赤峰市, Chifeng,1213315,6782607,33464,1032714
内蒙古自治区,  通辽市, Tongliao,1002595,5113020,19109,675818
内蒙古自治区,  鄂尔多斯市, Erdos,9099888,11195007,204900,1229423
内蒙古自治区,  呼伦贝尔市, Hulunbuir,1106262,5763215,18453,621458
内蒙古自治区,  巴彦淖尔市, Bayannur,801473,3647315,26112,357765
内蒙古自治区,  乌兰察布市, Ulanqab,679208,4158282,29394,425876
辽宁省,  沈阳市, Shenyang,8008539,10840553,349157,1211684
辽宁省,  大连市, Dalian,7502361,10135047,136146,1194208
辽宁省,  鞍山市, Anshan,1603774,3104600,10118,375256
辽宁省,  抚顺市, Fushun,669268,1779568,2400,210599
辽宁省,  本溪市, Benxi,800732,1721254,2840,164844
辽宁省,  丹东市, Dandong,746695,2395131,4855,325907
辽宁省,  锦州市, Jinzhou,1142927,2789192,15338,331509
辽宁省,  营口市, Yingkou,1370878,2511315,5438,277063
辽宁省,  阜新市, Fuxin,474199,1736015,5173,215782
辽宁省,  辽阳市, Liaoyang,798185,2129469,2294,202387
辽宁省,  盘锦市, Panjin,1296403,2100965,15861,200098
辽宁省,  铁岭市, Tieling,516094,2382291,5186,317554
辽宁省,  朝阳市, Chaoyang,826681,3183135,2535,468707
辽宁省,  葫芦岛市, Huludao,682111,2335517,-164,311259
吉林省,  长春市, Changchun,5765154,10749675,157653,1480272
吉林省,  吉林市, Jilin,852936,4111089,10177,524065
吉林省,  四平市, Siping,403184,2407889,3194,286250
吉林省,  辽源市, Liaoyuan,194234,1351873,5080,175235
吉林省,  通化市, Tonghua,388204,2015575,10021,259710
吉林省,  白山市, Baishan,284756,1767602,3958,221728
吉林省,  松原市, Songyuan,461102,3109263,5272,399127
吉林省,  白城市, Baicheng,285667,2893478,12143,306808
黑龙江省,  哈尔滨市, Harbin,3130744,10806970,115925,1278783
黑龙江省,  齐齐哈尔市, Qiqihar,1121713,6058974,27713,617773
黑龙江省,  鸡西市, Jixi,496630,2376472,13984,209444
黑龙江省,  鹤岗市, Hegang,322231,1368999,12511,138206
黑龙江省,  双鸭山市, Shuangyashan,434635,1984343,6120,187415
黑龙江省,  大庆市, Daqing,1700789,3689535,23615,475914
黑龙江省,  伊春市, Yichun,283492,2256528,8942,167710
黑龙江省,  佳木斯市, Jiamusi,771305,3700794,16853,310503
黑龙江省,  七台河市, Qitaihe,343170,1035681,3851,100919
黑龙江省,  牡丹江市, Mudanjiang,882856,3518609,21324,313894
黑龙江省,  黑河市, Heihe,524605,2906825,4177,228381
黑龙江省,  绥化市, Suihua,951250,5133785,16426,546990
上海市,上海市,Shanghai,83125008,96385132,5280521,12061443
江苏省,  南京市, Nanjing,16199827,18386959,1126386,3409645
江苏省,  无锡市, Wuxi,11954222,13901893,698997,2198255
江苏省,  徐州市, Xuzhou,5459594,10568958,248751,2194448
江苏省,  常州市, Changzhou,6802990,8547676,556733,1517266
江苏省,  苏州市, Suzhou,24568118,26212766,2698628,4699162
江苏省,  南通市, Nantong,6801587,11809328,572045,1910722
江苏省,  连云港市, Lianyungang,2560185,5746961,112317,1042334
江苏省,  淮安市, Huai'an,3166073,7173479,186115,1037664
江苏省,  盐城市, Yancheng,4827332,12282290,293065,1626309
江苏省,  扬州市, Yangzhou,3475704,7112383,170801,1074398
江苏省,  镇江市, Zhenjiang,3207058,5339472,111221,768666
江苏省,  泰州市, Taizhou,4397048,6974206,154040,891359
江苏省,  宿迁市, Suqian,3020031,6418370,189396,1058403
浙江省,  杭州市, Hangzhou,26168107,26362270,2429074,5601784
浙江省,  宁波市, Ningbo,17858565,22350944,1821641,3177652
浙江省,  温州市, Wenzhou,6226842,11759428,438380,2767484
浙江省,  嘉兴市, Jiaxing,6320216,8269900,547018,1635936
浙江省,  湖州市, Huzhou,4104988,6069736,310081,1099983
浙江省,  绍兴市, Shaoxing,5787476,7786417,486267,1584050
浙江省,  金华市, Jinhua,5257962,8484768,333436,1652384
浙江省,  衢州市, Quzhou,2042082,6064818,247098,762259
浙江省,  舟山市, Zhoushan,1935136,3765089,126758,429876
浙江省,  台州市, Taizhou,4942788,8366080,316323,1919376
浙江省,  丽水市, Lishui,1860556,6536540,194878,973785
安徽省,  合肥市, Hefei,9296276,14113371,2460306,2521680
安徽省,  芜湖市, Wuhu,4142847,6192234,781803,955462
安徽省,  蚌埠市, Bengbu,1797490,3692074,244808,721155
安徽省,  淮南市, Huainan,1305008,3160411,53397,546601
安徽省,  马鞍山市, Ma'anshan,2083746,3203300,169931,461550
安徽省,  淮北市, Huaibei,1048262,2269902,84021,422291
安徽省,  铜陵市, Tongling,1120992,2139497,158463,305727
安徽省,  安庆市, Anqing,1935385,5483011,140840,1017705
安徽省,  黄山市, Huangshan,842999,2217283,37790,261919
安徽省,  滁州市, Chuzhou,2981611,5338487,178306,910875
安徽省,  阜阳市, Fuyang,1947116,6489756,103016,1339438
安徽省,  宿州市, Suzhou,1617635,5019666,79675,1031117
安徽省,  六安市, Lu'an,1736062,6088838,99220,1051079
安徽省,  亳州市, Bozhou,1600426,4129247,69772,881656
安徽省,  池州市, Chizhou,921303,2249200,38475,302270
安徽省,  宣城市, Xuancheng,1979220,3684305,145330,498292
