省份,城市,City,年末实有城市道路面积万平方米_市辖区,排水管道长度公里_市辖区,境内公路总里程公里_全市,高速公路里程公里_全市
北京市,北京市,Beijing,17037,20585,22433,1211
天津市,天津市,Tianjin,19130,25252,15221,1358
河北省,  石家庄市, Shijiazhuang,3528,21376,915,
河北省,  唐山市, Tangshan,4982,3136,20369,839
河北省,  秦皇岛市, Qinhuangdao,1930,8885,357,
河北省,  邯郸市, Handan,2348,20552,535,
河北省,  邢台市, Xingtai,1714,21830,649,
河北省,  保定市, Baoding,1188,23868,1404,
河北省,  张家口市, Zhangjiakou,606,23734,1346,
河北省,  承德市, Chengde,1294,702,25077,759
河北省,  沧州市, Cangzhou,19696,682,,
河北省,  廊坊市, Langfang,1574,978,11631,564
河北省,  衡水市, Hengshui,824,14086,360,
山西省,  太原市, Taiyuan,7118,5086,6754,292
山西省,  大同市, Datong,2387,1645,12761,562
山西省,  阳泉市, Yangquan,1003,541,5453,
山西省,  长治市, Changzhi,1650,781,12706,471
山西省,  晋城市, Jincheng,624,9848,426,
山西省,  朔州市, Shuozhou,491,10292,468,
山西省,  晋中市, Jinzhong,16250,656,,
山西省,  运城市, Yuncheng,1077,752,16572,634
山西省,  忻州市, Xinzhou,939,830,17654,917
山西省,  临汾市, Linfen,777,547,19733,774
山西省,  吕梁市, Lvliang,443,437,18139,705
内蒙古自治区,  呼和浩特市, Hohhot,3273,3329,8635,514
内蒙古自治区,  包头市, Baotou,3657,2710,9549,140
内蒙古自治区,  乌海市, Wuhai,2411,287,1083,101
内蒙古自治区,  赤峰市, Chifeng,2147,1199,30028,1006
内蒙古自治区,  通辽市, Tongliao,1255,797,23259,647
内蒙古自治区,  鄂尔多斯市, Erdos,2996,2278,25879,1311
内蒙古自治区,  呼伦贝尔市, Hulunbuir,943,440,29558,696
内蒙古自治区,  巴彦淖尔市, Bayannur,1157,721,24156,369
内蒙古自治区,  乌兰察布市, Ulanqab,1132,798,18139,986
辽宁省,  沈阳市, Shenyang,10573,7546,13667,672
辽宁省,  大连市, Dalian,7198,3315,13427,529
辽宁省,  鞍山市, Anshan,3032,1249,8006,184
辽宁省,  抚顺市, Fushun,1848,1012,6660,326
辽宁省,  本溪市, Benxi,2218,653,4726,233
辽宁省,  丹东市, Dandong,1233,690,10330,361
辽宁省,  锦州市, Jinzhou,1035,748,10497,239
辽宁省,  营口市, Yingkou,3234,2003,4553,195
辽宁省,  阜新市, Fuxin,938,701,9309,367
辽宁省,  辽阳市, Liaoyang,1968,1032,4178,159
辽宁省,  盘锦市, Panjin,1976,1291,3986,141
辽宁省,  铁岭市, Tieling,1402,458,12386,346
辽宁省,  朝阳市, Chaoyang,718,557,18897,386
辽宁省,  葫芦岛市, Huludao,1944,684,10237,229
吉林省,  长春市, Changchun,8771,6389,28364,655
吉林省,  吉林市, Jilin,15656,685,,
吉林省,  四平市, Siping,738,429,8107,413
吉林省,  辽源市, Liaoyuan,393,5311,247,
吉林省,  通化市, Tonghua,240,6278,484,
吉林省,  白山市, Baishan,608,280,6711,261
吉林省,  松原市, Songyuan,602,13932,616,
吉林省,  白城市, Baicheng,781,13481,525,
黑龙江省,  哈尔滨市, Harbin,7028,4173,25179,1077
黑龙江省,  齐齐哈尔市, Qiqihar,1247,1040,24822,600
黑龙江省,  鸡西市, Jixi,313,1097,183,
黑龙江省,  鹤岗市, Hegang,571,308,5963,10
黑龙江省,  双鸭山市, Shuangyashan,408,,,
黑龙江省,  大庆市, Daqing,3887,1914,7693,325
黑龙江省,  伊春市, Yichun,885,453,7578,167
黑龙江省,  佳木斯市, Jiamusi,593,10465,618,
黑龙江省,  七台河市, Qitaihe,489,422,2012,166
黑龙江省,  牡丹江市, Mudanjiang,1173,827,12495,448
黑龙江省,  黑河市, Heihe,256,191,16600,527
黑龙江省,  绥化市, Suihua,394,437,21599,446
上海市,上海市,Shanghai,14008,22615,12989,881
江苏省,  南京市, Nanjing,18740,10867,9893,598
江苏省,  无锡市, Wuxi,7804,13635,7327,326
江苏省,  徐州市, Xuzhou,4819,3862,15999,464
江苏省,  常州市, Changzhou,5349,10076,8411,379
江苏省,  苏州市, Suzhou,11782,11740,11322,620
