省份,城市,City,货物进口额,货物出口额
四川省,  广元市, Guangyuan,32615,150227
四川省,  遂宁市, Suining,599700,489400
四川省,  内江市, Neijiang,116509,1008286
四川省,  乐山市, Leshan,159400,541900
四川省,  南充市, Nanchong,42808,1101736
四川省,  眉山市, Meishan,384955,964562
四川省,  宜宾市, Yibin,1349167,2292718
四川省,  广安市, Guang'an,54572,418159
四川省,  达州市, Dazhou,42352,996892
四川省,  雅安市, Ya'an,470479,246025
四川省,  巴中市, Bazhong,118003,12374
四川省,  资阳市, Ziyang,117874,400564
贵州省,  贵阳市, Guiyang,1992828,3803472
贵州省,  六盘水市, Liupanshui,117993,29973
贵州省,  遵义市, Zunyi,194779,656556
贵州省,  安顺市, Anshun,46700,77800
贵州省,  毕节市, Bijie,2000,53000
贵州省,  铜仁市, Tongren,200,33000
云南省,  昆明市, Kunming,9071409,4396347
云南省,  曲靖市, Qujing,61012,241190
云南省,  玉溪市, Yuxi,211834,242594
云南省,  保山市, Baoshan,1061576,179329
云南省,  昭通市, Zhaotong,304,5273
云南省,  丽江市, Lijiang,663,23003
云南省,  普洱市, Pu'er,754770,221321
云南省,  临沧市, Lincang,206258,202746
西藏自治区,  拉萨市, Lhasa,105596,446159
西藏自治区,  日喀则市, Xigaze,7100,535100
西藏自治区,  昌都市, Qamdo,22,86
西藏自治区,  林芝市, Nyingchi,37,88
西藏自治区,  山南市, Lhoka,1146,579
西藏自治区,  那曲市, Nagqu,,
陕西省,  西安市, Xi'an,12635971,23339960
陕西省,  铜川市, Tongchuan,33259,119898
陕西省,  宝鸡市, Baoji,309857,720872
陕西省,  咸阳市, Xianyang,640134,714041
陕西省,  渭南市, Weinan,67662,185923
陕西省,  延安市, Yan'an,167443,30942
陕西省,  汉中市, Hanzhong,118348,276969
陕西省,  榆林市, Yulin,91535,485792
陕西省,  安康市, Ankang,507,201144
陕西省,  商洛市, Shangluo,10900,160600
甘肃省,  兰州市, Lanzhou,703475,472615
甘肃省,  嘉峪关市, Jiayuguan,137762,10592
甘肃省,  金昌市, Jinchang,1592828,117972
甘肃省,  白银市, Baiyin,1055970,68914
甘肃省,  天水市, Tianshui,129000,213000
甘肃省,  武威市, Wuwei,1345,62643
甘肃省,  张掖市, Zhangye,2678,43236
甘肃省,  平凉市, Pingliang,216,28058
甘肃省,  酒泉市, Jiuquan,14518,149360
甘肃省,  庆阳市, Qingyang,1758,13393
甘肃省,  定西市, Dingxi,29150,12460
甘肃省,  陇南市, Longnan,258,38788
青海省,  西宁市, Xining,188621,199714
青海省,  海东市, Haidong,681,37883
宁夏回族自治区,  银川市, Yinchuan,419639,882330
宁夏回族自治区,  石嘴山市, Shizuishan,83852,405265
宁夏回族自治区,  吴忠市, Wuzhong,14093,42337
宁夏回族自治区,  固原市, Guyuan,10466,15354
宁夏回族自治区,  中卫市, Zhongwei,27926,152856
新疆维吾尔自治区,  乌鲁木齐市, Urumqi,1545756,5455475
新疆维吾尔自治区,  克拉玛依市, Karamay,12222,156049
新疆维吾尔自治区,  吐鲁番市, Turpan,469,49427
新疆维吾尔自治区,  哈密市, Hami,59738,24485
