省份,城市,City,普通职业本专科_全市,中等职业教育学校_全市,中等职业教育学校_市辖区
北京市,北京市,Beijing,618348,58509,58509
天津市,天津市,Tianjin,596569,82710,82710
河北省,  石家庄市, Shijiazhuang,682079,237757,182252
河北省,  唐山市, Tangshan,217862,57036,27494
河北省,  秦皇岛市, Qinhuangdao,143540,38734,26389
河北省,  邯郸市, Handan,86906,100755,57757
河北省,  邢台市, Xingtai,94508,78542,27310
河北省,  保定市, Baoding,193587,111538,44584
河北省,  张家口市, Zhangjiakou,80049,42385,23527
河北省,  承德市, Chengde,58439,42893,14340
河北省,  沧州市, Cangzhou,103709,108338,20886
河北省,  廊坊市, Langfang,192150,35073,10950
河北省,  衡水市, Hengshui,27179,30729,16465
山西省,  太原市, Taiyuan,748299,60178,53934
山西省,  大同市, Datong,50010,24916,17745
山西省,  阳泉市, Yangquan,,,
山西省,  长治市, Changzhi,59798,36253,28202
山西省,  晋城市, Jincheng,17922,14295,8471
山西省,  朔州市, Shuozhou,26509,16884,7061
山西省,  晋中市, Jinzhong,44868,17944,
山西省,  运城市, Yuncheng,70857,44742,14448
山西省,  忻州市, Xinzhou,29524,21988,6659
山西省,  临汾市, Linfen,30936,29164,12663
山西省,  吕梁市, Lvliang,20449,29889,6726
内蒙古自治区,  呼和浩特市, Hohhot,259301,28598,22845
内蒙古自治区,  包头市, Baotou,86300,22217,20251
内蒙古自治区,  乌海市, Wuhai,4984,4024,4024
内蒙古自治区,  赤峰市, Chifeng,32408,33681,13813
内蒙古自治区,  通辽市, Tongliao,39429,19262,1920
内蒙古自治区,  鄂尔多斯市, Erdos,20986,16908,3306
内蒙古自治区,  呼伦贝尔市, Hulunbuir,7965,16693,2498
内蒙古自治区,  巴彦淖尔市, Bayannur,11311,13242,8302
内蒙古自治区,  乌兰察布市, Ulanqab,37167,9491,
辽宁省,  沈阳市, Shenyang,446778,79089,
辽宁省,  大连市, Dalian,328491,39037,34051
辽宁省,  鞍山市, Anshan,64193,13393,8669
辽宁省,  抚顺市, Fushun,32187,7477,5557
辽宁省,  本溪市, Benxi,29777,5193,4054
辽宁省,  丹东市, Dandong,37362,10305,7291
辽宁省,  锦州市, Jinzhou,93777,17830,12090
辽宁省,  营口市, Yingkou,30344,19821,16792
辽宁省,  阜新市, Fuxin,46925,9042,6307
辽宁省,  辽阳市, Liaoyang,23336,11784,11784
辽宁省,  盘锦市, Panjin,10245,13422,3583
辽宁省,  铁岭市, Tieling,26184,9259,6652
辽宁省,  朝阳市, Chaoyang,7289,18230,8539
辽宁省,  葫芦岛市, Huludao,11444,14370,5876
吉林省,  长春市, Changchun,536946,48152,42226
吉林省,  吉林市, Jilin,130469,21860,13175
吉林省,  四平市, Siping,48016,11113,4633
吉林省,  辽源市, Liaoyuan,10808,4694,3078
吉林省,  通化市, Tonghua,15372,7041,2202
吉林省,  白山市, Baishan,4651,2745,1184
吉林省,  松原市, Songyuan,7053,10484,2832
吉林省,  白城市, Baicheng,3707,6622,3542
黑龙江省,  哈尔滨市, Harbin,759915,,
黑龙江省,  齐齐哈尔市, Qiqihar,38279,9225,
黑龙江省,  鸡西市, Jixi,10430,3849,
黑龙江省,  鹤岗市, Hegang,3125,1760,
黑龙江省,  双鸭山市, Shuangyashan,5585,1519,375
黑龙江省,  大庆市, Daqing,65453,7314,4704
黑龙江省,  伊春市, Yichun,7886,1874,877
黑龙江省,  佳木斯市, Jiamusi,65949,13122,9052
黑龙江省,  七台河市, Qitaihe,5825,2852,2756
黑龙江省,  牡丹江市, Mudanjiang,75871,16366,8023
黑龙江省,  黑河市, Heihe,12753,4445,2081
黑龙江省,  绥化市, Suihua,10700,3786,
上海市,上海市,Shanghai,572443,86613,86613
江苏省,  南京市, Nanjing,799410,63533,63533
江苏省,  无锡市, Wuxi,201698,76790,57368
江苏省,  徐州市, Xuzhou,244271,124497,63159
江苏省,  常州市, Changzhou,173480,29955,10405
江苏省,  苏州市, Suzhou,305240,65929,17982
江苏省,  南通市, Nantong,156573,87280,54967
江苏省,  连云港市, Lianyungang,63888,38721,12735
江苏省,  淮安市, Huai'an,101220,38421,26532
江苏省,  盐城市, Yancheng,14354,54851,29688
江苏省,  扬州市, Yangzhou,117036,27468,17880
江苏省,  镇江市, Zhenjiang,123942,19664,8987
江苏省,  泰州市, Taizhou,77354,34273,17080
江苏省,  宿迁市, Suqian,34765,79479,38319
浙江省,  杭州市, Hangzhou,514304,79244,72162
浙江省,  宁波市, Ningbo,186501,60868,32553
浙江省,  温州市, Wenzhou,139820,94291,27222
浙江省,  嘉兴市, Jiaxing,82515,51478,14353
浙江省,  湖州市, Huzhou,41134,33160,10985
浙江省,  绍兴市, Shaoxing,136176,37111,21356
浙江省,  金华市, Jinhua,111244,48337,16043
浙江省,  衢州市, Quzhou,19526,21863,8964
浙江省,  舟山市, Zhoushan,26567,6101,5190
浙江省,  台州市, Taizhou,78244,68498,18132
浙江省,  丽水市, Lishui,49865,24596,6817
安徽省,  合肥市, Hefei,862683,89508,56121
安徽省,  芜湖市, Wuhu,157360,25869,20990
安徽省,  蚌埠市, Bengbu,77541,35692,14314
安徽省,  淮南市, Huainan,99785,44060,28103
安徽省,  马鞍山市, Ma'anshan,78993,23153,9170
安徽省,  淮北市, Huaibei,48305,18802,15904
安徽省,  铜陵市, Tongling,45932,13779,7800
安徽省,  安庆市, Anqing,61291,35558,35558
安徽省,  黄山市, Huangshan,32546,16233,7431
安徽省,  滁州市, Chuzhou,63416,40896,8600
