省份,城市,City,细颗粒物年平均浓度微克立方米,空气质量优良天数比例,污水处理厂集中处理率,生活垃圾无害化处理率
河南省,  许昌市, Xuchang,46,67.00,100.00,100.00
河南省,  漯河市, Luohe,46,69.04,100.00,100.00
河南省,  三门峡市, Sanmenxia,41,73.20,99.28,100.00
河南省,  南阳市, Nanyang,44,76.70,99.64,99.93
河南省,  商丘市, Shangqiu,46,67.67,99.03,91.28
河南省,  信阳市, Xinyang,40,83.01,100.00,100.00
河南省,  周口市, Zhoukou,47,69.59,99.97,80.32
河南省,  驻马店市, Zhumadian,40,78.36,99.70,100.00
湖北省,  武汉市, Wuhan,38,79.20,97.90,100.00
湖北省,  黄石市, Huangshi,36,81.50,98.30,100.00
湖北省,  十堰市, Shiyan,29,92.30,97.28,100.00
湖北省,  宜昌市, Yichang,36,87.20,98.14,100.00
湖北省,  襄阳市, Xiangyang,47,74.50,97.00,100.00
湖北省,  鄂州市, Ezhou,37,79.73,100.00,100.00
湖北省,  荆门市, Jingmen,44,73.70,100.00,100.00
湖北省,  孝感市, Xiaogan,42,80.90,97.54,100.00
湖北省,  荆州市, Jingzhou,47,76.70,90.21,100.00
湖北省,  黄冈市, Huanggang,40,78.60,97.60,100.00
湖北省,  咸宁市, Xianning,34,87.40,87.40,81.28
湖北省,  随州市, Suizhou,41,82.70,99.00,100.00
湖南省,  长沙市, Changsha,38,87.90,76.40,100.00
湖南省,  株洲市, Zhuzhou,38,89.30,95.48,100.00
湖南省,  湘潭市, Xiangtan,44,87.10,98.22,100.00
湖南省,  衡阳市, Hengyang,32,95.20,100.00,100.00
湖南省,  邵阳市, Shaoyang,40,88.80,100.00,100.00
湖南省,  岳阳市, Yueyang,36,87.40,97.00,100.00
湖南省,  常德市, Changde,42,87.10,100.00,100.00
湖南省,  张家界市, Zhangjiajie,31,94.51,97.43,100.00
湖南省,  益阳市, Yiyang,43,84.70,99.54,100.00
湖南省,  郴州市, Chenzhou,31,95.10,99.30,100.00
湖南省,  永州市, Yongzhou,28,96.30,98.97,100.00
湖南省,  怀化市, Huaihua,31,95.10,96.05,100.00
湖南省,  娄底市, Loudi,41,88.80,98.03,100.00
广东省,  广州市, Guangzhou,23,90.40,98.90,100.00
广东省,  韶关市, Shaoguan,24,98.10,100.00,100.00
广东省,  深圳市, Shenzhen,18,97.80,100.00,
广东省,  珠海市, Zhuhai,18,91.80,99.66,100.00
广东省,  汕头市, Shantou,20,98.08,99.00,100.00
广东省,  佛山市, Foshan,23,87.67,95.55,100.00
广东省,  江门市, Jiangmen,22,85.75,98.24,100.00
广东省,  湛江市, Zhanjiang,20,97.30,98.16,94.51
广东省,  茂名市, Maoming,21,98.10,100.00,100.00
广东省,  肇庆市, Zhaoqing,22,96.99,98.46,100.00
广东省,  惠州市, Huizhou,19,98.40,91.41,97.86
广东省,  梅州市, Meizhou,19,99.70,100.00,
广东省,  汕尾市, Shanwei,17,98.60,97.74,100.00
广东省,  河源市, Heyuan,20,99.20,96.90,100.00
广东省,  阳江市, Yangjiang,21,96.70,100.00,100.00
广东省,  清远市, Qingyuan,23,93.40,97.91,100.00
广东省,  东莞市, Dongguan,21,88.80,98.93,100.00
广东省,  中山市, Zhongshan,20,88.77,100.00,100.00
广东省,  潮州市, Chaozhou,24,96.44,100.00,100.00
广东省,  揭阳市, Jieyang,26,96.70,95.89,100.00
广东省,  云浮市, Yunfu,21,91.70,97.09,100.00
广西壮族自治区,  南宁市, Nanning,25,98.90,99.82,100.00
广西壮族自治区,  柳州市, Liuzhou,27,97.30,93.03,100.00
广西壮族自治区,  桂林市, Guilin,30,96.40,84.00,100.00
广西壮族自治区,  梧州市, Wuzhou,27,99.20,,
广西壮族自治区,  北海市, Beihai,21,98.40,99.81,100.00
广西壮族自治区,  防城港市, Fangchenggang,22,99.70,83.94,100.00
广西壮族自治区,  钦州市, Qinzhou,24,98.90,99.43,100.00
广西壮族自治区,  贵港市, Guigang,28,97.53,100.00,
广西壮族自治区,  玉林市, Yulin,27,98.90,94.50,100.00
广西壮族自治区,  百色市, Baise,31,97.30,90.26,100.00
广西壮族自治区,  贺州市, Hezhou,28,98.60,99.31,100.00
广西壮族自治区,  河池市, Hechi,25,97.50,95.28,100.00
广西壮族自治区,  来宾市, Laibin,29,94.80,98.41,99.26
广西壮族自治区,  崇左市, Chongzuo,26,97.80,97.66,100.00
海南省,  海口市, Haikou,16,97.53,100.00,100.00
海南省,  三亚市, Sanya,11,99.70,100.00,100.00
海南省,  三沙市, Sansha,,,,
海南省,  儋州市, Danzhou,14,99.70,100.00,100.00
重庆市,重庆市,Chongqing,37,89.00,99.47,100.00
四川省,  成都市, Chengdu,39,78.10,95.02,100.00
四川省,  自贡市, Zigong,43,77.53,94.00,100.00
四川省,  攀枝花市, Panzhihua,97.30,64.03,100.00,
四川省,  泸州市, Luzhou,44,78.90,96.14,100.00
四川省,  德阳市, Deyang,42,74.50,97.90,100.00
四川省,  绵阳市, Mianyang,37,80.50,96.95,100.00
四川省,  广元市, Guangyuan,26,95.10,97.92,100.00
四川省,  遂宁市, Suining,30,87.10,95.54,100.00
四川省,  内江市, Neijiang,40,80.30,97.21,100.00
四川省,  乐山市, Leshan,35,86.80,100.00,100.00
四川省,  南充市, Nanchong,37,86.60,98.80,100.00
四川省,  眉山市, Meishan,38,76.70,96.93,100.00
四川省,  宜宾市, Yibin,44,75.10,96.65,100.00
四川省,  广安市, Guang'an,40,84.11,99.50,100.00
四川省,  达州市, Dazhou,31,90.10,100.00,100.00
四川省,  雅安市, Ya'an,32,87.40,98.00,100.00
四川省,  巴中市, Bazhong,30,93.20,98.91,100.00
四川省,  资阳市, Ziyang,35,80.80,98.93,100.00
贵州省,  贵阳市, Guiyang,24,99.50,99.15,100.00
贵州省,  六盘水市, Liupanshui,24,95.60,98.19,100.00
贵州省,  遵义市, Zunyi,25,100.00,98.64,94.27
贵州省,  安顺市, Anshun,24,99.20,98.37,100.00
贵州省,  毕节市, Bijie,25,98.00,98.39,98.14
贵州省,  铜仁市, Tongren,23,97.90,98.54,99.10
云南省,  昆明市, Kunming,23,97.53,97.12,100.00
云南省,  曲靖市, Qujing,19,98.60,99.05,100.00
云南省,  玉溪市, Yuxi,23,96.70,99.22,87.07
云南省,  保山市, Baoshan,18,97.50,99.99,100.00
云南省,  昭通市, Zhaotong,21,96.65,98.37,100.00
云南省,  丽江市, Lijiang,14,100.00,98.50,100.00
云南省,  普洱市, Pu'er,18,0.97,100.00,100.00
云南省,  临沧市, Lincang,26,96.70,100.00,100.00
西藏自治区,  拉萨市, Lhasa,10,97.30,63.00,
西藏自治区,  日喀则市, Xigaze,9,99.70,,
西藏自治区,  昌都市, Qamdo,9,100.00,67.43,99.76
西藏自治区,  林芝市, Nyingchi,5,100.00,100.00,100.00
西藏自治区,  山南市, Lhoka,9,99.50,96.50,100.00
西藏自治区,  那曲市, Nagqu,16,99.70,100.00,100.00
陕西省,  西安市, Xi'an,48,65.48,96.97,100.00
陕西省,  铜川市, Tongchuan,38,79.40,98.04,100.00
陕西省,  宝鸡市, Baoji,43,75.07,97.84,99.99
陕西省,  咸阳市, Xianyang,52,63.00,97.78,99.91
陕西省,  渭南市, Weinan,49,67.40,97.13,100.00
陕西省,  延安市, Yan'an,26,91.00,97.48,99.75
陕西省,  汉中市, Hanzhong,39,83.80,97.40,97.01
陕西省,  榆林市, Yulin,24,86.30,95.38,100.00
陕西省,  安康市, Ankang,30,93.00,97.87,99.98
陕西省,  商洛市, Shangluo,26,91.51,97.76,99.74
甘肃省,  兰州市, Lanzhou,37,77.30,97.47,100.00
甘肃省,  嘉峪关市, Jiayuguan,19,83.30,100.00,100.00
甘肃省,  金昌市, Jinchang,20,82.70,98.00,100.00
甘肃省,  白银市, Baiyin,25,85.80,97.58,100.00
甘肃省,  天水市, Tianshui,28,92.90,100.00,100.00
甘肃省,  武威市, Wuwei,30,97.40,98.85,100.00
甘肃省,  张掖市, Zhangye,24,98.00,98.75,100.00
甘肃省,  平凉市, Pingliang,27,89.30,99.65,100.00
甘肃省,  酒泉市, Jiuquan,24,77.30,98.77,100.00
甘肃省,  庆阳市, Qingyang,27,85.40,99.70,100.00
甘肃省,  定西市, Dingxi,28,93.70,68.05,100.00
甘肃省,  陇南市, Longnan,20,98.30,97.55,100.00
青海省,  西宁市, Xining,30,94.80,95.32,98.93
青海省,  海东市, Haidong,28,94.90,96.99,97.62
宁夏回族自治区,  银川市, Yinchuan,32,78.60,98.30,100.00
宁夏回族自治区,  石嘴山市, Shizuishan,34,80.30,100.00,100.00
宁夏回族自治区,  吴忠市, Wuzhong,30,76.20,100.00,100.00
宁夏回族自治区,  固原市, Guyuan,22,91.20,100.00,100.00
宁夏回族自治区,  中卫市, Zhongwei,28,79.50,,
新疆维吾尔自治区,  乌鲁木齐市, Urumqi,38,81.90,100.00,100.00
新疆维吾尔自治区,  克拉玛依市, Karamay,22,93.70,100.00,100.00
新疆维吾尔自治区,  吐鲁番市, Turpan,43,61.90,,
新疆维吾尔自治区,  哈密市, Hami,23,83.30,100.00,100.00
