省份,城市,City,社会消费品零售总额_全市,社会消费品零售总额_市辖区,限额以上单位商品零售额_全市,限额以上单位商品零售额_市辖区,限额以上批发零售业商品销售总额_全市,限额以上批发零售业商品销售总额_市辖区
北京市,北京市,Beijing,144626607,144626607,96636951,96636951,906022993,906022993
天津市,天津市,Tianjin,38206695,38206695,23262778,23262778,473980474,473980474
河北省,  石家庄市, Shijiazhuang,28752066,21560557,10742283,9403737,85103767,56583753
河北省,  唐山市, Tangshan,23853384,14033482,4245562,3619059,68736249,57659179
河北省,  秦皇岛市, Qinhuangdao,6671256,4780032,1787914,1723757,14384311,13450383
河北省,  邯郸市, Handan,14121829,6731042,3117134,2637621,9908270,6170369
河北省,  邢台市, Xingtai,10978779,4065101,2731648,1961854,7292160,4475127
河北省,  保定市, Baoding,18701806,8308927,5609231,3962336,11673640,7485926
河北省,  张家口市, Zhangjiakou,6927392,4916278,1801343,1261213,7800296,7009194
河北省,  承德市, Chengde,5598298,2285026,1371121,1000655,3084381,2315289
河北省,  沧州市, Cangzhou,12763693,4731009,4068145,2202350,15416075,5782100
河北省,  廊坊市, Langfang,15043983,3835252,5727903,3985340,15038826,10861822
河北省,  衡水市, Hengshui,6992580,3233671,1887784,1481797,5291720,3949686
山西省,  太原市, Taiyuan,19128768,17978796,11463403,11294391,77953271,73537389
山西省,  大同市, Datong,7622195,6127493,1624496,1513580,23899915,22856540
山西省,  阳泉市, Yangquan,3325689,2099193,691835,594238,7493186,6911269
山西省,  长治市, Changzhi,7181616,5171824,2106105,1748737,22473643,12616597
山西省,  晋城市, Jincheng,5757300,3450915,1790140,1109004,14872634,5878680
山西省,  朔州市, Shuozhou,3593195,1641071,739186,525052,7784208,3669845
山西省,  晋中市, Jinzhong,6844935,2728556,2023957,1386939,12445165,4746668
山西省,  运城市, Yuncheng,8302788,2920456,2777432,950476,10801075,2463821
山西省,  忻州市, Xinzhou,4508292,1522853,985378,658210,10750109,3426037
山西省,  临汾市, Linfen,8197078,3100415,1940310,1104732,20090085,7104203
山西省,  吕梁市, Lvliang,5356075,761648,1096966,317491,13331876,2228909
内蒙古自治区,  呼和浩特市, Hohhot,12025873,10210453,4273297,3192940,15404076,10300198
内蒙古自治区,  包头市, Baotou,11148860,10279087,2525425,2480660,13092780,11644317
内蒙古自治区,  乌海市, Wuhai,1395811,1395811,434983,434983,1866073,1866073
内蒙古自治区,  赤峰市, Chifeng,6427163,3370648,1398306,1070832,5468672,3111959
内蒙古自治区,  通辽市, Tongliao,3443663,1169169,1139377,542608,4557283,1723396
内蒙古自治区,  鄂尔多斯市, Erdos,6713954,3312385,2586044,1992121,31474745,18347868
