省份,城市,City,地方本级一般公共预算收入,地方一般公共预算支出,科学技术支出,教育支出
北京市,北京市,Beijing,61810970,79716333,5219079,12279032
天津市,天津市,Tianjin,20275112,32804209,770293,4917886
河北省,  石家庄市, Shijiazhuang,4964103,7225373,168401,1436829
河北省,  唐山市, Tangshan,3984429,6346669,84731,999624
河北省,  秦皇岛市, Qinhuangdao,1155159,1556059,8070,308623
河北省,  邯郸市, Handan,1902373,3925357,42089,760946
河北省,  邢台市, Xingtai,751348,1346970,13304,354779
河北省,  保定市, Baoding,1112034,1813963,47505,459896
河北省,  张家口市, Zhangjiakou,1029271,3446848,19314,430682
河北省,  承德市, Chengde,562564,1764162,19618,247443
河北省,  沧州市, Cangzhou,437929,504463,24239,131289
河北省,  廊坊市, Langfang,834704,895371,13995,202159
河北省,  衡水市, Hengshui,402174,737158,25372,175235
山西省,  太原市, Taiyuan,3927955,6562786,407102,896296
山西省,  大同市, Datong,1618740,2852547,3254,377363
山西省,  阳泉市, Yangquan,564711,935567,11739,155877
山西省,  长治市, Changzhi,1821285,2889316,8842,350992
山西省,  晋城市, Jincheng,946785,1341698,18794,144779
山西省,  朔州市, Shuozhou,968771,1543191,10175,222641
山西省,  晋中市, Jinzhong,751161,1568043,4836,212608
山西省,  运城市, Yuncheng,404584,1432181,9150,196093
山西省,  忻州市, Xinzhou,410476,1106823,2228,156625
山西省,  临汾市, Linfen,784279,1516529,2378,184070
山西省,  吕梁市, Lvliang,1066010,1523685,9476,169582
内蒙古自治区,  呼和浩特市, Hohhot,1141528,1483608,22361,306426
内蒙古自治区,  包头市, Baotou,1332234,3280168,51169,448369
内蒙古自治区,  乌海市, Wuhai,856955,1719272,17673,189689
内蒙古自治区,  赤峰市, Chifeng,654468,2699993,25191,403705
内蒙古自治区,  通辽市, Tongliao,447435,635971,1397,104387
内蒙古自治区,  鄂尔多斯市, Erdos,4143048,4671580,117978,482124
内蒙古自治区,  呼伦贝尔市, Hulunbuir,154123,495836,1631,66604
内蒙古自治区,  巴彦淖尔市, Bayannur,302170,1273051,19701,148239
内蒙古自治区,  乌兰察布市, Ulanqab,305520,1240031,16480,145920
辽宁省,  沈阳市, Shenyang,7615534,9615752,166625,772220
辽宁省,  大连市, Dalian,6100239,8036569,133060,963446
辽宁省,  鞍山市, Anshan,1041437,1625226,6149,191734
辽宁省,  抚顺市, Fushun,240878,1255351,1848,132018
辽宁省,  本溪市, Benxi,660988,1186319,2275,102822
辽宁省,  丹东市, Dandong,361723,1184075,4651,121779
辽宁省,  锦州市, Jinzhou,747514,1393127,14592,135598
辽宁省,  营口市, Yingkou,902712,1616726,5068,167778
辽宁省,  阜新市, Fuxin,300979,924829,5021,98723
辽宁省,  辽阳市, Liaoyang,304699,477836,684,50480
辽宁省,  盘锦市, Panjin,1190206,1734785,15810,161212
辽宁省,  铁岭市, Tieling,107597,206233,519,23903
辽宁省,  朝阳市, Chaoyang,349225,1097090,1364,148885
辽宁省,  葫芦岛市, Huludao,382629,1087079,-1515,125770
吉林省,  长春市, Changchun,5314949,7319580,148542,1008007
吉林省,  吉林市, Jilin,602481,2112206,8827,247286
吉林省,  四平市, Siping,290295,861463,2526,83180
吉林省,  辽源市, Liaoyuan,116587,592437,1472,65483
吉林省,  通化市, Tonghua,76017,221729,1289,31077
吉林省,  白山市, Baishan,174711,752697,1651,75976
吉林省,  松原市, Songyuan,207197,827747,3824,96470
吉林省,  白城市, Baicheng,112407,709366,6435,91405
黑龙江省,  哈尔滨市, Harbin,2786800,7258995,100257,890226
黑龙江省,  齐齐哈尔市, Qiqihar,653450,2241695,21267,218874
黑龙江省,  鸡西市, Jixi,349709,1189473,10659,88466
黑龙江省,  鹤岗市, Hegang,236294,859995,2297,81316
黑龙江省,  双鸭山市, Shuangyashan,260058,813100,4278,68933
黑龙江省,  大庆市, Daqing,1502359,2428778,19706,322301
黑龙江省,  伊春市, Yichun,161746,1046746,6828,69499
黑龙江省,  佳木斯市, Jiamusi,429993,1285382,11759,100455
黑龙江省,  七台河市, Qitaihe,307322,691540,3547,77282
黑龙江省,  牡丹江市, Mudanjiang,69001,268342,1915,33337
黑龙江省,  黑河市, Heihe,177178,703016,1652,56178
黑龙江省,  绥化市, Suihua,240284,1040942,3790,97395
上海市,上海市,Shanghai,83125008,96385132,5280521,12061443
江苏省,  南京市, Nanjing,16199827,18386959,1126386,3409645
江苏省,  无锡市, Wuxi,7033144,6747435,384863,1074301
江苏省,  徐州市, Xuzhou,2409281,2916444,86263,694417
江苏省,  常州市, Changzhou,5189913,5252568,302000,970720
江苏省,  苏州市, Suzhou,13363490,15181403,1758613,2812399
江苏省,  南通市, Nantong,3511396,4354030,210521,704458
江苏省,  连云港市, Lianyungang,1687599,3505320,84738,650931
江苏省,  淮安市, Huai'an,2310369,4976220,139693,723815
江苏省,  盐城市, Yancheng,2054193,3166995,151417,420402
江苏省,  扬州市, Yangzhou,2236344,4209916,124401,651167
江苏省,  镇江市, Zhenjiang,1055992,1461343,48407,199074
江苏省,  泰州市, Taizhou,2181151,3363356,95124,386940
江苏省,  宿迁市, Suqian,1354600,1985593,80468,335353
浙江省,  杭州市, Hangzhou,24971916,23866015,2318582,5101930
浙江省,  宁波市, Ningbo,12982707,16064196,1168879,2044595
浙江省,  温州市, Wenzhou,2881618,4513312,257093,1044857
浙江省,  嘉兴市, Jiaxing,1856116,2702023,162145,431819
浙江省,  湖州市, Huzhou,1731461,2857414,117867,550836
浙江省,  绍兴市, Shaoxing,3844295,4862269,301319,968911
浙江省,  金华市, Jinhua,1109638,2361191,79598,396302
浙江省,  衢州市, Quzhou,949335,2970911,141474,356738
浙江省,  舟山市, Zhoushan,1583936,2744768,101785,329838
浙江省,  台州市, Taizhou,1984073,3117093,144869,715509
浙江省,  丽水市, Lishui,642885,1642540,68735,265429
安徽省,  合肥市, Hefei,6712367,8821752,1785834,1660223
安徽省,  芜湖市, Wuhu,3558979,5032766,740687,686114
安徽省,  蚌埠市, Bengbu,1171044,1987924,103913,289802
安徽省,  淮南市, Huainan,747628,1823027,31755,265724
安徽省,  马鞍山市, Ma'anshan,1218721,1692677,88200,210285
安徽省,  淮北市, Huaibei,712628,1399077,53687,238607
安徽省,  铜陵市, Tongling,979464,1610411,132725,213478
安徽省,  安庆市, Anqing,1009562,1871135,29942,197424
安徽省,  黄山市, Huangshan,487208,1129339,17013,111252
安徽省,  滁州市, Chuzhou,956654,1690796,79376,259541
安徽省,  阜阳市, Fuyang,819136,2736831,32212,446684
安徽省,  宿州市, Suzhou,907160,2451687,68203,355860
安徽省,  六安市, Lu'an,816365,3191850,65433,491718
安徽省,  亳州市, Bozhou,881109,1986420,54457,323195
安徽省,  池州市, Chizhou,573469,1225515,23677,136992
安徽省,  宣城市, Xuancheng,626938,1393720,24200,128650
福建省,  福州市, Fuzhou,4204800,4872675,141150,1070505
福建省,  厦门市, Xiamen,9321359,10846541,616598,2037659
