省份,城市,City,规模以上服务业营业收入万元_全市,规模以上服务业营业收入万元_市辖区,规模以上服务业营业收入增速_全市,规模以上服务业营业收入增速_市辖区
北京市,北京市,Beijing,1732020894,1732020894,2.0,2.0
天津市,天津市,Tianjin,109287611,109287611,,
河北省,  石家庄市, Shijiazhuang,17856406,15767079,4.4,3.2
河北省,  唐山市, Tangshan,10204591,8962566,0.3,1.7
河北省,  秦皇岛市, Qinhuangdao,2187788,2047326,4.6,4.9
河北省,  邯郸市, Handan,2170803,1681938,0.8,3.7
河北省,  邢台市, Xingtai,1206579,837628,0.4,1.2
河北省,  保定市, Baoding,6494988,3001719,2.0,1.4
河北省,  张家口市, Zhangjiakou,2852455,1469432,2.8,4.4
河北省,  承德市, Chengde,1178572,947818,8.1,7.2
河北省,  沧州市, Cangzhou,4739407,1256273,0.9,6.9
河北省,  廊坊市, Langfang,7514701,6007661,4.0,4.2
河北省,  衡水市, Hengshui,883542,655291,1.1,5.2
山西省,  太原市, Taiyuan,25875218,25512664,-0.5,-0.6
山西省,  大同市, Datong,1657029,1100914,4.7,-6.1
山西省,  阳泉市, Yangquan,836319,747759,5.6,4.1
山西省,  长治市, Changzhi,2045778,1058706,7.4,7.1
山西省,  晋城市, Jincheng,1257704,830967,10.6,11.5
山西省,  朔州市, Shuozhou,656181,500391,2.6,8.3
山西省,  晋中市, Jinzhong,3809845,1223125,14.3,13.1
山西省,  运城市, Yuncheng,2297961,966631,-2.0,-1.4
山西省,  忻州市, Xinzhou,1348422,410419,0.8,5.4
山西省,  临汾市, Linfen,1732630,1200880,14.9,16.8
山西省,  吕梁市, Lvliang,1569381,457940,-6.2,-1.6
内蒙古自治区,  呼和浩特市, Hohhot,10598361,9021633,16.9,16.6
内蒙古自治区,  包头市, Baotou,3776118,3652793,1.9,1.8
内蒙古自治区,  乌海市, Wuhai,832989,832989,-2.9,-2.9
内蒙古自治区,  赤峰市, Chifeng,859640,776583,-0.6,2.6
内蒙古自治区,  通辽市, Tongliao,1418520,447559,-0.1,-0.3
内蒙古自治区,  鄂尔多斯市, Erdos,5648477,2819693,6.7,16.0
内蒙古自治区,  呼伦贝尔市, Hulunbuir,949448,304432,24.7,2.1
内蒙古自治区,  巴彦淖尔市, Bayannur,567645,280349,15.5,-2.2
内蒙古自治区,  乌兰察布市, Ulanqab,1070669,710858,27.3,23.1
辽宁省,  沈阳市, Shenyang,22722645,22477427,10.4,10.8
辽宁省,  大连市, Dalian,18194491,17202139,-5.3,-5.7
辽宁省,  鞍山市, Anshan,2639728,2319693,2.8,4.9
辽宁省,  抚顺市, Fushun,752079,732392,4.4,4.1
辽宁省,  本溪市, Benxi,6341545,582503,13.8,10.5
辽宁省,  丹东市, Dandong,7676956,619630,5.4,3.4
辽宁省,  锦州市, Jinzhou,1264354,1172286,-5.5,-5.7
辽宁省,  营口市, Yingkou,2922685,2737224,-7.8,-7.8
辽宁省,  阜新市, Fuxin,351484,324404,2.6,8.1
辽宁省,  辽阳市, Liaoyang,615160,532408,-8.9,-11.6
辽宁省,  盘锦市, Panjin,1370785,1229317,-2.4,-0.8
辽宁省,  铁岭市, Tieling,588003,64423,10.2,40.2
辽宁省,  朝阳市, Chaoyang,800054,563312,-7.9,6.6
辽宁省,  葫芦岛市, Huludao,570840,388021,1.7,6.9
吉林省,  长春市, Changchun,11064444,10571573,6.6,6.8
吉林省,  吉林市, Jilin,1738648,1279371,8.3,-1.7
吉林省,  四平市, Siping,396733,372580,-0.7,-1.4
吉林省,  辽源市, Liaoyuan,195078,149348,-2.1,
吉林省,  通化市, Tonghua,365627,286867,1.2,-1.6
吉林省,  白山市, Baishan,292500,186000,22.4,17.7
吉林省,  松原市, Songyuan,465819,358225,8.6,7.5
吉林省,  白城市, Baicheng,271214,213719,6.0,11.1
黑龙江省,  哈尔滨市, Harbin,12583894,12380604,16.0,16.1
黑龙江省,  齐齐哈尔市, Qiqihar,1569957,1058305,-7.6,-7.6
黑龙江省,  鸡西市, Jixi,710797,465986,-20.5,-12.4
黑龙江省,  鹤岗市, Hegang,658963,262275,6.4,5.5
黑龙江省,  双鸭山市, Shuangyashan,310740,252539,-10.5,7.3
黑龙江省,  大庆市, Daqing,1170385,1132259,-10.7,-6.8
黑龙江省,  伊春市, Yichun,106423,101315,4.8,4.2
黑龙江省,  佳木斯市, Jiamusi,897184,303418,-6.1,-7.9
黑龙江省,  七台河市, Qitaihe,239963,153846,19.2,3.3
黑龙江省,  牡丹江市, Mudanjiang,610377,457531,-10.1,-2.1
黑龙江省,  黑河市, Heihe,600259,175781,-15.3,7.0
黑龙江省,  绥化市, Suihua,1009643,397799,-13.7,-26.4
上海市,上海市,Shanghai,507288600,507288600,2.6,2.6
江苏省,  南京市, Nanjing,84070888,84070888,7.2,7.2
江苏省,  无锡市, Wuxi,20942470,17003894,7.5,8.8
江苏省,  徐州市, Xuzhou,11297162,7039290,6.1,7.1
江苏省,  常州市, Changzhou,11523179,9711999,11.5,12.7
江苏省,  苏州市, Suzhou,54305093,39037439,13.6,15.2
江苏省,  南通市, Nantong,11559303,8082062,0.1,2.7
江苏省,  连云港市, Lianyungang,7522327,6839687,3.0,2.7
江苏省,  淮安市, Huai'an,7629360,6898221,27.8,41.3
江苏省,  盐城市, Yancheng,9062967,4451712,5.1,7.4
江苏省,  扬州市, Yangzhou,7780614,5489649,11.9,9.4
江苏省,  镇江市, Zhenjiang,4773052,3775143,4.5,1.5
江苏省,  泰州市, Taizhou,6693573,4050197,4.5,6.0
江苏省,  宿迁市, Suqian,8403133,7274174,32.4,36.2
浙江省,  杭州市, Hangzhou,191381351,187247322,9.7,9.8
浙江省,  宁波市, Ningbo,51992084,45870204,-6.2,-7.8
浙江省,  温州市, Wenzhou,8733863,6614023,3.7,2.4
浙江省,  嘉兴市, Jiaxing,13827064,5893183,13.7,16.6
浙江省,  湖州市, Huzhou,4292458,2114516,14.8,10.1
浙江省,  绍兴市, Shaoxing,5255577,3789614,8.6,3.7
浙江省,  金华市, Jinhua,10332315,4249746,5.2,9.7
浙江省,  衢州市, Quzhou,2900468,1674506,10.5,10.6
浙江省,  舟山市, Zhoushan,4506535,3932229,7.4,10.4
浙江省,  台州市, Taizhou,5271193,2925125,7.3,7.9
浙江省,  丽水市, Lishui,1447729,903141,23.4,14.0
安徽省,  合肥市, Hefei,28388822,24190299,9.5,8.6
安徽省,  芜湖市, Wuhu,11056080,10847950,15.4,16.3
安徽省,  蚌埠市, Bengbu,2241246,1576734,-7.9,-7.1
安徽省,  淮南市, Huainan,1251212,1251212,9.3,9.3
安徽省,  马鞍山市, Ma'anshan,3033158,2409561,1.3,-1.8
安徽省,  淮北市, Huaibei,1107225,1049625,-0.3,0.1
安徽省,  铜陵市, Tongling,1751972,1742537,-3.7,-3.8
安徽省,  安庆市, Anqing,5629734,4596170,20.2,14.0
安徽省,  黄山市, Huangshan,718541,607104,35.2,31.1
安徽省,  滁州市, Chuzhou,1748843,1125865,6.1,13.9
安徽省,  阜阳市, Fuyang,2123254,1725235,-2.3,4.4
安徽省,  宿州市, Suzhou,1701388,1560792,-1.0,0.3
安徽省,  六安市, Lu'an,1440850,946301,7.0,4.7
安徽省,  亳州市, Bozhou,1157325,892163,0.4,5.8
安徽省,  池州市, Chizhou,1365201,1008511,17.2,45.1
安徽省,  宣城市, Xuancheng,902444,666127,3.3,7.8
福建省,  福州市, Fuzhou,33928889,24726542,7.9,10.7
福建省,  厦门市, Xiamen,35346397,35346397,17.7,17.7
福建省,  莆田市, Putian,3362936,1886543,2.9,-5.5
福建省,  三明市, Sanming,1367763,847612,6.2,6.7
福建省,  泉州市, Quanzhou,6713034,4208291,2.6,2.4
福建省,  漳州市, Zhangzhou,2886034,2372772,19.2,18.1
福建省,  南平市, Nanping,1296858,713426,1.4,1.6
福建省,  龙岩市, Longyan,2588208,1728988,5.5,2.5
福建省,  宁德市, Ningde,2096426,1701234,8.7,5.5
江西省,  南昌市, Nanchang,15443438,14061710,10.7,10.8
江西省,  景德镇市, Jingdezhen,1570614,1176250,3.7,9.7
江西省,  萍乡市, Pingxiang,853011,686650,4.4,1.4
江西省,  九江市, Jiujiang,4248166,1898082,5.9,4.0
江西省,  新余市, Xinyu,503343,426632,4.8,4.3
江西省,  鹰潭市, Yingtan,1379525,1068618,4.5,1.6
江西省,  赣州市, Ganzhou,3581195,2400853,1.3,4.4
江西省,  吉安市, Ji'an,2828997,820152,0.6,3.8
江西省,  宜春市, Yichun,3543969,1094645,5.3,1.2
江西省,  抚州市, Fuzhou,3131367,5.9,,
江西省,  上饶市, Shangrao,6642559,4779174,6.4,6.5
山东省,  济南市, Jinan,42639802,42236608,14.4,14.5
山东省,  青岛市, Qingdao,37530053,34086480,-5.1,-6.9
山东省,  淄博市, Zibo,5887550,5311252,0.4,1.8
山东省,  枣庄市, Zaozhuang,1823529,1435081,5.9,3.9
山东省,  东营市, Dongying,6972147,6468177,8.8,10.4
山东省,  烟台市, Yantai,9003370,7493969,6.6,7.7
山东省,  潍坊市, Weifang,5411384,3614956,6.3,7.6
山东省,  济宁市, Jining,5465577,2833558,10.1,83.0
山东省,  泰安市, Tai'an,3065230,2220942,15.0,17.7
山东省,  威海市, Weihai,2577393,2147801,10.1,10.6
山东省,  日照市, Rizhao,5226014,4784705,6.2,6.6
山东省,  临沂市, Linyi,4904650,3337926,1.9,7.5
山东省,  德州市, Dezhou,3233823,1093806,14.0,15.5
山东省,  聊城市, Liaocheng,2577903,2004011,-7.9,-4.5
山东省,  滨州市, Binzhou,2400297,1096753,10.0,4.7
山东省,  菏泽市, Heze,3141566,1602413,9.9,10.9
河南省,  郑州市, Zhengzhou,44662652,29483995,19.5,19.6
河南省,  开封市, Kaifeng,1334930,939317,-20.9,1.0
河南省,  洛阳市, Luoyang,5531073,4918318,14.7,13.4
河南省,  平顶山市, Pingdingshan,2706402,549140,-4.9,6.2
河南省,  安阳市, Anyang,1515917,1097791,1.8,1.3
河南省,  鹤壁市, Hebi,614277,479932,2.5,9.8
河南省,  新乡市, Xinxiang,1906097,1045344,-3.5,3.0
河南省,  焦作市, Jiaozuo,1690255,854443,12.9,-0.3
河南省,  濮阳市, Puyang,1772636,1421150,2.0,1.8
河南省,  许昌市, Xuchang,1459384,1200348,-24.8,-8.8
河南省,  漯河市, Luohe,966095,877473,-7.1,-8.7
河南省,  三门峡市, Sanmenxia,740398,582602,-1.9,0.4
河南省,  南阳市, Nanyang,2553364,1577924,0.1,6.8
河南省,  商丘市, Shangqiu,1738623,1261742,-16.7,2.0
河南省,  信阳市, Xinyang,1654138,943605,14.4,8.0
河南省,  周口市, Zhoukou,2402184,1604026,7.8,10.2
河南省,  驻马店市, Zhumadian,1523931,973358,-0.1,-2.4
湖北省,  武汉市, Wuhan,77001748,77001748,13.2,13.2
湖北省,  黄石市, Huangshi,1906558,1463146,16.6,22.8
湖北省,  十堰市, Shiyan,1705800,1110911,10.1,1.6
湖北省,  宜昌市, Yichang,7827576,4484930,26.2,19.6
湖北省,  襄阳市, Xiangyang,4619943,3139903,4.8,4.1
湖北省,  鄂州市, Ezhou,593792,593792,10.5,10.5
湖北省,  荆门市, Jingmen,1237732,848642,17.3,6.5
