省份,城市,City,规模以上工业资产总计_全市,规模以上工业资产总计_市辖区,规模以上工业利润总额_全市,规模以上工业利润总额_市辖区
陕西省,  渭南市, Weinan,28169000,4822000,261000,159000
陕西省,  延安市, Yan'an,70315066,3930968,3745643,100126
陕西省,  汉中市, Hanzhong,8461907,1832000,-119331,53000
陕西省,  榆林市, Yulin,110189980,24034798,20338410,6334655
陕西省,  安康市, Ankang,4579973,1493268,130311,13434
陕西省,  商洛市, Shangluo,2949356,2003081,75255,20900
甘肃省,  兰州市, Lanzhou,31181000,15773620,564000,612941
甘肃省,  嘉峪关市, Jiayuguan,12010218,297303,,
甘肃省,  金昌市, Jinchang,20022528,18226157,1151277,1318594
甘肃省,  白银市, Baiyin,13016271,10122989,231319,118261
甘肃省,  天水市, Tianshui,10281168,9139514,87695,99054
甘肃省,  武威市, Wuwei,7953682,4466554,125650,9257
甘肃省,  张掖市, Zhangye,6312954,2217985,93341,48998
甘肃省,  平凉市, Pingliang,6877064,1112303,467005,-25678
甘肃省,  酒泉市, Jiuquan,20270570,4563827,605774,-22189
甘肃省,  庆阳市, Qingyang,17224838,2097309,1251373,116442
甘肃省,  定西市, Dingxi,4702408,1014606,45728,21768
甘肃省,  陇南市, Longnan,5221480,443985,365915,4256
青海省,  西宁市, Xining,21301039,783004,,
青海省,  海东市, Haidong,3621891,1033018,82865,-25874
宁夏回族自治区,  银川市, Yinchuan,66274964,23896761,3090253,1420153
宁夏回族自治区,  石嘴山市, Shizuishan,16892607,10301267,14900,33056
宁夏回族自治区,  吴忠市, Wuzhong,21621546,2753290,588123,204377
宁夏回族自治区,  固原市, Guyuan,3052223,1803512,187386,35414
宁夏回族自治区,  中卫市, Zhongwei,29572857,7400336,-106835,25799
新疆维吾尔自治区,  乌鲁木齐市, Urumqi,59791725,58980775,2049380,1981638
新疆维吾尔自治区,  克拉玛依市, Karamay,21893248,21893248,829979,829979
新疆维吾尔自治区,  吐鲁番市, Turpan,15121716,2169080,365968,51121
新疆维吾尔自治区,  哈密市, Hami,25705829,15045918,2661439,701435
